lon,lat,cat
116.1641043,39.7313337,artwork
116.2038728,39.9254189,hotel
116.1994327,39.927387,museum
116.4676889,39.8680722,apartment
116.3200798,39.8924849,hotel
116.5138587,39.7794468,artwork
116.7159807,39.8815638,viewpoint
116.7175872,39.8685177,viewpoint
116.7178774,39.8830007,viewpoint
116.7194962,39.8817925,viewpoint
116.7203298,39.8811312,viewpoint
116.7209258,39.8808191,viewpoint
116.7213158,39.8789892,viewpoint
116.7214277,39.8776269,viewpoint
116.722535,39.8771228,viewpoint
116.7234461,39.8787389,camp_site
116.7277613,39.8792452,viewpoint
116.7280181,39.8726741,viewpoint
116.7331748,39.8610176,viewpoint
116.6747668,39.8571587,artwork
116.6709294,39.8511332,artwork
116.2631933,39.7658081,viewpoint
116.2654154,39.7658214,viewpoint
116.2672141,39.7669872,viewpoint
116.2730708,39.767568,viewpoint
116.2740971,39.7679029,viewpoint
116.1712076,39.9897492,viewpoint
116.1733732,39.9886967,attraction
116.1748437,39.9881634,viewpoint
116.1784,39.9894609,picnic_site
116.1448632,39.9921556,attraction
116.1703149,39.9906126,attraction
116.1748698,40.0068381,attraction
116.1725448,39.9857637,attraction
116.150009,39.9759588,attraction
116.1512603,39.9768272,attraction
116.1542342,39.9707356,viewpoint
116.1814675,39.9907983,attraction
116.1827914,39.9920113,picnic_site
116.1846953,39.9911688,attraction
116.1856559,39.9927825,picnic_site
116.1858298,39.9928154,picnic_site
116.1859596,39.9929309,picnic_site
116.1868457,40.0093081,attraction
116.1374015,40.0797097,artwork
116.1863479,39.9831194,viewpoint
116.1817777,39.9832773,viewpoint
116.1871052,39.9833172,picnic_site
116.1875408,39.9834004,picnic_site
116.1920325,39.9868907,picnic_site
116.1878972,39.985417,picnic_site
116.1908582,39.9896846,picnic_site
116.1902701,39.9886767,picnic_site
116.189313,39.9864049,picnic_site
116.1938107,39.9788507,attraction
116.1477594,39.9162359,hotel
116.1432317,39.9171338,attraction
116.1430832,39.9168935,attraction
116.1455297,39.9182031,attraction
116.1518547,39.9335741,museum
116.1517166,39.9343,viewpoint
116.2015958,40.0021694,picnic_site
116.2024381,40.0015764,picnic_site
116.2018707,40.0031392,picnic_site
116.0634986,40.0485435,camp_site
116.0679621,40.0498056,picnic_site
116.0712807,40.0507549,viewpoint
116.0634227,40.0535072,attraction
116.0651022,40.0865576,viewpoint
116.0607145,40.1020835,information
116.079099,40.1072086,viewpoint
116.0758538,40.1103637,viewpoint
116.0790737,40.1118119,viewpoint
116.0812571,40.1148088,attraction
116.0592825,40.0681621,viewpoint
116.0656984,40.0889739,viewpoint
116.0905478,40.0609608,attraction
116.0877046,40.0610212,attraction
116.0896032,40.0606954,attraction
116.0894278,40.0607472,attraction
116.0894552,40.0594375,attraction
116.0881854,40.0602174,attraction
116.0711713,40.0612068,attraction
116.0775785,40.0493416,attraction
116.0674636,40.052958,attraction
116.0721481,40.0528744,attraction
116.0647844,40.0607023,attraction
116.0688332,40.0521853,attraction
116.0678938,40.0541983,attraction
116.079762,40.0504608,attraction
116.0795295,40.0509821,attraction
116.0651496,40.0527383,attraction
116.0836208,40.0478991,attraction
116.0794069,40.0512638,attraction
116.0781617,40.0507665,attraction
116.078778,40.0510968,attraction
116.0662968,40.0524024,attraction
116.0935406,40.0622499,attraction
116.0806593,40.0599492,attraction
116.0817853,40.0595123,attraction
116.0868142,40.0586883,picnic_site
116.0866367,40.0614888,attraction
116.0912647,40.0613645,attraction
116.0860228,40.0607385,attraction
116.0513971,40.07548,viewpoint
116.0471784,40.0790466,viewpoint
116.0470442,40.0904691,information
116.0471069,40.0914486,information
115.9927199,40.0935157,viewpoint
116.1665758,39.9068728,attraction
116.1952557,39.9011916,hotel
116.2005958,39.9119385,hotel
116.2005958,39.9120002,hotel
116.0628696,39.891303,information
116.0263479,39.9626022,artwork
116.0426034,39.9653707,museum
116.1106973,39.864232,viewpoint
115.9711045,40.0183185,attraction
116.0718867,39.8723912,information
116.0723126,39.8712155,information
116.0905842,39.8706694,attraction
116.026903,39.8976754,viewpoint
116.1984979,39.878212,museum
116.06353,39.8653656,attraction
116.0729318,39.8562483,attraction
116.0731307,39.862149,artwork
116.0738416,39.8529832,information
116.0844361,39.8500838,attraction
115.9541442,39.9191112,information
115.9337694,39.9349011,information
115.9583863,39.9361728,information
115.9482689,39.9380538,information
115.9475153,39.7958265,attraction
115.9481819,39.7970652,attraction
115.9594444,39.8372641,attraction
115.9398995,39.6769979,attraction
115.8585837,39.683489,attraction
115.9308062,39.6866276,museum
115.8387025,39.6949374,attraction
116.2673531,40.1525772,viewpoint
116.2679691,40.1527543,viewpoint
116.2692447,40.1535332,viewpoint
116.224594,40.2102279,viewpoint
116.2509881,40.1936844,viewpoint
116.2525878,40.1934681,hotel
116.2115572,40.195501,viewpoint
116.3046589,40.0326503,hotel
116.2994702,39.9934016,artwork
116.3027596,39.9833085,museum
116.3083406,39.9874927,artwork
116.3153597,40.003319,artwork
116.3172165,40.0022343,attraction
116.3176786,40.002509,attraction
116.3190749,40.0007352,artwork
116.3191512,40.0018984,artwork
116.3195977,40.0047492,attraction
116.319695,40.0049775,artwork
116.3200096,40.0051916,artwork
116.324718,40.0044137,artwork
115.9415758,39.9484561,information
116.3190621,39.9684848,hotel
116.3217531,39.9597876,artwork
116.3272955,39.9711538,hotel
116.2783592,39.8616666,artwork
116.2821625,39.8624967,artwork
116.2885589,39.8758418,hotel
116.2774751,39.8238361,hotel
116.2964749,39.8843447,hotel
116.2493672,39.8999529,attraction
116.260784,39.898931,hotel
116.3054082,39.8803733,guest_house
116.3106126,39.8807947,hotel
116.3087183,39.8808299,hotel
116.3086637,39.8808508,hotel
116.3078079,39.8808951,hotel
116.3057936,39.8810799,hotel
