lon,lat,cat
-8.5978912,41.1509322,guest_house
-8.5949941,41.1504805,hostel
-8.593198,41.151214,viewpoint
-8.5788519,41.1580449,artwork
-8.5784588,41.157571,artwork
-8.5869235,41.1579923,viewpoint
-8.5815672,41.1619789,artwork
-8.5877366,41.1580072,artwork
-8.5912762,41.1543416,gallery
-8.598057,41.1533907,artwork
-8.5979887,41.1533362,artwork
-8.5979363,41.1533493,artwork
-8.5978411,41.1529,artwork
-8.5976086,41.1567666,hotel
-8.5959357,41.1582339,artwork
-8.5930891,41.1528968,viewpoint
-8.5895042,41.1595438,artwork
-8.5883585,41.1583623,viewpoint
-8.5883516,41.1586107,viewpoint
-8.5881787,41.1589075,viewpoint
-8.5894407,41.1631124,hotel
-8.5902203,41.166388,hostel
-8.5885413,41.1653338,information
-8.5958556,41.1664511,museum
-8.591617,41.168407,guest_house
-8.5949567,41.1712771,picnic_site
-8.6036275,41.1745128,artwork
-8.597405,41.1878036,hotel
-8.6766333,41.1534348,apartment
-8.6745036,41.1477233,artwork
-8.6742034,41.1540838,artwork
-8.672001,41.1477509,artwork
-8.6703157,41.134882,viewpoint
-8.6636461,41.1480589,apartment
-8.6566477,41.1511293,artwork
-8.6515205,41.1481396,artwork
-8.6536905,41.1479889,viewpoint
-8.65376,41.1488271,artwork
-8.6591919,41.1481313,hostel
-8.6311471,41.1604482,artwork
-8.6386767,41.15065,museum
-8.6359996,41.1523287,artwork
-8.6008057,41.153308,artwork
-8.642456,41.153623,museum
-8.6033333,41.1537775,artwork
-8.6034875,41.1532441,artwork
-8.6085382,41.1525629,artwork
-8.6237611,41.1528984,artwork
-8.6092253,41.1535296,artwork
-8.61849,41.153414,artwork
-8.6214483,41.145224,artwork
-8.6289947,41.1452551,artwork
-8.627088,41.1452652,artwork
-8.6210134,41.1452852,artwork
-8.620319,41.1455161,guest_house
-8.621162,41.145895,artwork
-8.6189271,41.1460867,artwork
-8.6188043,41.1461062,artwork
-8.6170979,41.1466948,hostel
-8.617243,41.1467539,guest_house
-8.6251295,41.1483677,information
-8.6234381,41.1492227,artwork
-8.6205676,41.1482782,artwork
-8.620557,41.1482443,artwork
-8.6200431,41.149733,artwork
-8.6154531,41.1514219,artwork
-8.6152657,41.1498621,artwork
-8.6148284,41.1504468,artwork
-8.6140967,41.1511968,artwork
-8.6138167,41.1515399,artwork
-8.6137011,41.1520259,artwork
-8.6085832,41.1524973,artwork
-8.6081727,41.1488969,artwork
-8.6074386,41.1500827,hostel
-8.6051916,41.1509474,artwork
-8.5993733,41.1495479,artwork
-8.5985603,41.150088,artwork
-8.5984047,41.1497744,artwork
-8.5982971,41.1499776,artwork
-8.5975323,41.1484201,artwork
-8.5975229,41.1515799,artwork
