top_k_paths,num_paths,util_comp_time,freq_comp_time,total_high,total_freq                                                                                                               
5,50,0.5884,0.3505,269.8038,52.0448
5,60,0.6846,0.4094,270.8494,53.3209
5,70,0.7877,0.4668,271.8983,53.3209
5,80,0.8913,0.5265,271.8983,53.3209
5,90,0.9829,0.5830,271.8983,54.5970
5,100,1.0892,0.6412,271.8983,54.5970
5,110,1.1894,0.6977,271.8983,54.5970
5,120,1.2781,0.7553,271.8983,54.5970
5,130,1.3816,0.8116,271.8983,54.5970
5,140,1.4801,0.8703,271.8983,55.8731
5,150,1.5710,0.9269,271.8983,57.1492
6,50,0.5811,0.3526,317.4253,60.4041
6,60,0.6845,0.4108,318.7329,61.6802
6,70,0.7816,0.4708,319.7818,61.6802
6,80,0.8837,0.5269,319.7818,61.6802
6,90,0.9781,0.5836,319.7818,62.9563
6,100,1.1026,0.6495,319.7818,62.9563
6,110,1.2217,0.7166,319.7818,62.9563
6,120,1.3500,0.7743,319.7818,62.9563
6,130,1.4171,0.8321,319.7818,62.9563
6,140,1.5154,0.8912,319.7818,64.2324
6,150,1.6239,0.9464,319.7818,65.5085
7,50,0.6070,0.3680,362.5824,68.7633
7,60,0.7003,0.4266,366.6164,70.0395
7,70,0.7993,0.4836,367.6653,70.0395
7,80,0.8948,0.5401,367.6653,70.0395
7,90,0.9868,0.5847,367.6653,71.3156
7,100,1.0741,0.6424,367.6653,71.3156
7,110,1.1707,0.6996,367.6653,71.3156
7,120,1.2717,0.7573,367.6653,71.3156
7,130,1.3732,0.8145,367.6653,71.3156
7,140,1.4859,0.8968,367.6653,72.5917
7,150,1.5878,0.9567,367.6653,73.8678
8,50,0.6024,0.3757,407.7395,77.1226
8,60,0.6978,0.4347,411.7735,78.3987
8,70,0.8015,0.4930,413.0844,78.3987
8,80,0.9033,0.5517,413.0844,78.3987
8,90,0.9946,0.6125,413.0844,79.6748
8,100,1.0930,0.6654,413.0844,79.6748
8,110,1.1713,0.7109,413.0844,79.6748
8,120,1.2690,0.7773,413.0844,79.6748
8,130,1.3966,0.8482,413.0844,79.6748
8,140,1.4964,0.9053,413.0844,80.9510
8,150,1.5814,0.9634,413.0844,82.2271
9,50,0.6058,0.3818,452.7050,85.4819
9,60,0.7088,0.4435,456.9306,86.7580
9,70,0.8122,0.5041,458.5035,86.7580
9,80,0.9054,0.5601,458.5035,86.7580
9,90,1.0017,0.6185,458.5035,88.0341
9,100,1.1066,0.6768,458.5035,88.0341
9,110,1.1996,0.7377,458.5035,88.0341
9,120,1.2696,0.7786,458.5035,88.0341
9,130,1.3696,0.8350,458.5035,88.0341
9,140,1.4555,0.8899,458.5035,89.3102
9,150,1.5545,0.9486,458.5035,90.5863
10,50,0.6030,0.3825,496.6335,93.8412
10,60,0.6975,0.4399,502.0245,95.1173
10,70,0.7731,0.4811,503.6607,95.1173
10,80,0.8699,0.5370,503.9227,95.1173
10,90,0.9643,0.5921,503.9227,96.3934
10,100,1.0558,0.6474,503.9227,96.3934
10,110,1.1690,0.7120,503.9227,96.3934
10,120,1.2767,0.7690,503.9227,96.3934
10,130,1.3635,0.8292,503.9227,96.3934
10,140,1.4742,0.8961,503.9227,97.6695
10,150,1.5743,0.9608,503.9227,98.9456
11,50,0.6179,0.3901,540.5620,102.2005
11,60,0.7107,0.4486,546.0918,103.4766
11,70,0.8140,0.5057,548.8178,103.4766
11,80,0.9100,0.5634,549.3418,103.4766
11,90,0.9994,0.6208,549.3418,104.7527
11,100,1.1054,0.6804,549.3418,104.7527
11,110,1.2035,0.7370,549.3418,104.7527
11,120,1.2887,0.7926,549.3418,104.7527
11,130,1.4017,0.8555,549.3418,104.7527
11,140,1.4976,0.9116,549.3418,106.0288
11,150,1.5856,0.9709,549.3418,107.3049
12,50,0.6263,0.3997,584.4906,110.5598
12,60,0.7226,0.4576,590.1591,111.8359
12,70,0.8237,0.5152,593.9749,111.8359
12,80,0.9122,0.5711,594.7609,111.8359
12,90,1.0109,0.6310,594.7609,113.1120
12,100,1.1151,0.6900,594.7609,113.1120
12,110,1.2084,0.7485,594.7609,113.1120
12,120,1.3023,0.8055,594.7609,113.1120
12,130,1.4075,0.8629,594.7609,113.1120
12,140,1.5077,0.9188,594.7609,114.3881
12,150,1.6150,0.9770,594.7609,115.6642
13,50,0.6449,0.4069,628.3342,118.9191
13,60,0.7396,0.4652,634.2263,120.1952
13,70,0.8366,0.5218,639.0035,120.1952
13,80,0.9214,0.5694,640.1800,120.1952
13,90,0.9663,0.6033,640.1800,121.4713
13,100,1.0517,0.6541,640.1800,121.4713
13,110,1.1461,0.7076,640.1800,121.4713
13,120,1.2347,0.7632,640.1800,121.4713
13,130,1.3300,0.8178,640.1800,121.4713
13,140,1.4352,0.8688,640.1800,122.7474
13,150,1.5119,0.9215,640.1800,124.0235
14,50,0.6066,0.3867,672.1778,127.2784
14,60,0.6925,0.4408,678.1548,128.5545
14,70,0.7891,0.4949,683.2646,128.5545
14,80,0.8807,0.5493,685.5991,128.5545
14,90,0.9637,0.6038,685.5991,129.8306
14,100,1.0620,0.6573,685.5991,129.8306
14,110,1.1579,0.7111,685.5991,129.8306
14,120,1.2397,0.7648,685.5991,129.8306
14,130,1.3501,0.8224,685.5991,129.8306
14,140,1.4332,0.8723,685.5991,131.1067
14,150,1.5116,0.9238,685.5991,132.3828
