top_k_paths,num_paths,util_comp_time,freq_comp_time,total_high,total_freq                                                                                                               
5,50,0.4418,0.2719,527.9082,42.3622
5,60,0.5220,0.3174,529.1218,43.1573
5,70,0.5970,0.3626,542.6146,48.8253
5,80,0.6779,0.4086,562.7404,51.1395
5,90,0.7490,0.4533,563.6566,51.1395
5,100,0.8276,0.4982,563.6566,51.1395
5,110,0.9073,0.5432,564.9255,51.1395
5,120,0.9788,0.5893,576.2674,51.1395
5,130,1.0537,0.6344,587.0461,52.1372
5,140,1.1299,0.6784,591.6435,52.1372
5,150,1.2068,0.7229,593.9975,52.1372
6,50,0.4475,0.2752,625.7370,50.7717
6,60,0.5213,0.3194,627.3591,50.9504
6,70,0.6006,0.3656,644.2982,57.0346
6,80,0.6794,0.4126,667.2166,60.9513
6,90,0.7475,0.4631,668.1327,60.9513
6,100,0.8469,0.5217,668.1327,60.9513
6,110,0.9242,0.5675,669.8597,60.9513
6,120,1.0043,0.6140,683.6866,60.9513
6,130,1.0795,0.6595,696.0173,61.1414
6,140,1.1661,0.7094,700.6938,61.1414
6,150,1.2402,0.7557,703.9466,61.1414
7,50,0.4613,0.2912,720.9258,59.1728
7,60,0.5414,0.3388,724.9714,58.7351
7,70,0.6217,0.3861,745.3567,65.2355
7,80,0.6969,0.4320,771.1030,69.6582
7,90,0.7715,0.4784,772.0191,69.6582
7,100,0.8482,0.5230,772.0191,69.6582
7,110,0.9056,0.5590,774.2042,69.6582
7,120,0.9790,0.6035,790.0638,69.6582
7,130,1.0567,0.6512,804.2393,71.2481
7,140,1.1361,0.6966,809.0753,71.2481
7,150,1.2114,0.7435,813.1030,71.2481
8,50,0.4492,0.2900,814.8763,66.9575
8,60,0.5287,0.3375,822.5837,67.1363
8,70,0.6283,0.3854,846.4152,73.3992
8,80,0.7080,0.4336,874.3731,77.8721
8,90,0.7811,0.4811,875.2893,77.8721
8,100,0.8599,0.5270,875.2893,77.8721
8,110,0.9426,0.5732,878.2762,77.8721
8,120,1.0145,0.6181,896.1642,77.8721
8,130,1.0937,0.6647,911.8888,81.4623
8,140,1.1714,0.7159,916.8843,81.4623
8,150,1.2274,0.7417,921.2449,81.4623
9,50,0.4593,0.2927,908.5354,74.4231
9,60,0.5372,0.3378,919.5413,75.2182
9,70,0.6208,0.3855,944.2627,81.2809
9,80,0.7099,0.4405,973.8339,86.0861
9,90,0.7846,0.4874,975.2703,86.0861
9,100,0.8670,0.5337,975.2703,86.0861
9,110,0.9454,0.5776,979.0565,86.0861
9,120,1.0239,0.6257,998.5206,86.0861
9,130,1.1014,0.6687,1016.7260,91.3743
9,140,1.1887,0.7208,1024.4532,91.3743
9,150,1.2652,0.7641,1029.1917,91.3743
10,50,0.4863,0.3093,996.5122,81.5569
10,60,0.5693,0.3518,1016.0861,82.3521
10,70,0.6381,0.3998,1041.5613,88.8309
10,80,0.7176,0.4457,1072.9648,94.7176
10,90,0.7981,0.4932,1074.6266,94.7176
10,100,0.8553,0.5254,1074.6266,94.7176
10,110,0.9275,0.5679,1078.7075,94.7176
10,120,1.0056,0.6152,1099.5882,94.7176
10,130,1.0777,0.6590,1120.0143,101.0545
10,140,1.1589,0.7032,1128.2357,101.0545
10,150,1.2368,0.7515,1136.3515,101.0545
11,50,0.4752,0.3036,1083.9827,89.6669
11,60,0.5451,0.3445,1112.5675,90.4620
11,70,0.6113,0.3847,1138.7965,97.3571
11,80,0.6871,0.4278,1171.4927,104.0231
11,90,0.7586,0.4737,1173.7240,104.0231
11,100,0.8346,0.5166,1173.7240,104.0231
11,110,0.9124,0.5616,1177.8049,104.0231
11,120,1.0022,0.6210,1200.0848,104.0231
11,130,1.0791,0.6674,1222.7490,111.3715
11,140,1.1510,0.7106,1231.5250,111.3715
11,150,1.2341,0.7616,1242.4080,111.3715
12,50,0.4897,0.3138,1171.2960,98.1400
12,60,0.5650,0.3575,1208.8492,98.9352
12,70,0.6421,0.4022,1236.0317,106.2464
12,80,0.7189,0.4476,1269.1439,112.2324
12,90,0.7958,0.4955,1271.8575,112.1516
12,100,0.8728,0.5385,1271.8575,112.1516
12,110,0.9480,0.5843,1276.6125,112.1516
12,120,1.0282,0.6289,1299.9603,112.1516
12,130,1.1045,0.6757,1325.1938,120.5114
12,140,1.1794,0.7207,1334.5319,120.5114
12,150,1.2548,0.7666,1347.8875,120.5114
13,50,0.4984,0.3180,1258.6092,106.1970
13,60,0.5782,0.3647,1303.1733,107.4083
13,70,0.6544,0.4099,1332.5406,115.1357
13,80,0.7306,0.4544,1365.9161,120.4333
13,90,0.8076,0.5020,1369.2589,120.2801
13,100,0.8843,0.5481,1369.2589,120.2801
13,110,0.9592,0.5932,1374.2194,120.2801
13,120,1.0373,0.6383,1398.5684,120.2801
13,130,1.1025,0.6805,1426.7890,128.6399
13,140,1.1800,0.7268,1436.6004,129.7899
13,150,1.2573,0.7740,1452.7117,129.7899
14,50,0.5036,0.3278,1344.5455,114.2539
14,60,0.5775,0.3721,1395.4837,115.8814
14,70,0.6476,0.4164,1429.0110,123.6088
14,80,0.7222,0.4617,1462.6496,128.6342
14,90,0.7938,0.5065,1466.5525,128.4086
14,100,0.8716,0.5527,1466.5525,128.4086
14,110,0.9552,0.6060,1471.5822,128.4086
14,120,1.0355,0.6547,1497.0360,128.4086
14,130,1.1175,0.7019,1527.9187,136.7684
14,140,1.1915,0.7448,1538.5536,137.9183
14,150,1.2698,0.7918,1557.2349,137.9183
