geo_id,type,coordinates,highway,lanes,length,maxspeed
0,LineString,"[[-8.6406364, 41.1660713], [-8.6409114, 41.1662762]]",7,0,32.388000000000005,0
1,LineString,"[[-8.6406364, 41.1660713], [-8.6407202, 41.1662137], [-8.6407599, 41.1663352], [-8.6407578, 41.1664674], [-8.6406796, 41.1666065], [-8.6404816, 41.1669122], [-8.640433, 41.1670937], [-8.6404315, 41.167301], [-8.6404428, 41.1676479], [-8.6404492, 41.1679022], [-8.6404613, 41.1680242]]",7,0,224.655,0
2,LineString,"[[-8.6420446, 41.168347], [-8.6423385, 41.1682776], [-8.6425007, 41.1682117], [-8.6427012, 41.1681378], [-8.6429355, 41.1681355], [-8.6430835, 41.1681485], [-8.6433345, 41.1682353]]",7,1,115.105,6
3,LineString,"[[-8.6420446, 41.168347], [-8.6422246, 41.1683448], [-8.6423839, 41.1683181], [-8.642724, 41.1682099], [-8.6429037, 41.1682018], [-8.6430445, 41.1682272], [-8.6432475, 41.1683211], [-8.6437937, 41.168776], [-8.6438594, 41.1689201]]",7,1,191.892,0
4,LineString,"[[-8.6415867, 41.1668853], [-8.6417347, 41.1669968], [-8.6423525, 41.1675121], [-8.6425536, 41.1676685]]",7,2,118.915,4
5,LineString,"[[-8.6224058, 41.1742319], [-8.6224311, 41.1745623], [-8.6224443, 41.1749254]]",1,3,77.19,9
6,LineString,"[[-8.6224443, 41.1749254], [-8.622428, 41.1757767], [-8.6224086, 41.1761959], [-8.6223626, 41.1770772], [-8.6223441, 41.1773783]]",1,4,272.9,9
7,LineString,"[[-8.5835683, 41.166241], [-8.5833393, 41.1661137], [-8.5830903, 41.1659372], [-8.5827766, 41.1656524], [-8.5825702, 41.1653826], [-8.5815846, 41.1635853], [-8.5814169, 41.1632622], [-8.5813554, 41.1631437], [-8.5812732, 41.1629297], [-8.5812285, 41.1627076], [-8.581208, 41.1625507], [-8.5812436, 41.1622154], [-8.5813189, 41.161894], [-8.5813789, 41.1617012]]",0,3,560.14,8
8,LineString,"[[-8.5835683, 41.166241], [-8.5833186, 41.1659875], [-8.5831143, 41.1657569], [-8.5827442, 41.165301], [-8.5823861, 41.1646697], [-8.5822294, 41.1644037], [-8.5821837, 41.1642204], [-8.582209, 41.1639651]]",7,2,283.215,4
9,LineString,"[[-8.5810576, 41.1626066], [-8.5810984, 41.1628018], [-8.5811456, 41.1630178], [-8.5812089, 41.1631812], [-8.5812642, 41.1632991], [-8.5814151, 41.1636211], [-8.582343, 41.1653233]]",0,3,321.704,8
10,LineString,"[[-8.5810576, 41.1626066], [-8.5810103, 41.162892], [-8.5810297, 41.1630648], [-8.5810394, 41.1631419], [-8.581035, 41.163203], [-8.5809648, 41.1633181], [-8.5808331, 41.1634598], [-8.5807821, 41.1635456], [-8.5807471, 41.16363], [-8.5807127, 41.1637203], [-8.580687, 41.16376], [-8.5806276, 41.1638116], [-8.5805804, 41.1638447], [-8.5804783, 41.1638938], [-8.5803064, 41.1639561]]",7,1,174.739,0
11,LineString,"[[-8.5825433, 41.1541532], [-8.5822803, 41.153765], [-8.5820684, 41.1535031], [-8.581844, 41.1532555], [-8.5806171, 41.152175]]",0,4,273.962,8
12,LineString,"[[-8.5825433, 41.1541532], [-8.5825527, 41.1539803], [-8.5822872, 41.1535984], [-8.5821284, 41.1533542], [-8.5821019, 41.1532266], [-8.5821206, 41.1531047], [-8.5821833, 41.1529878], [-8.5822629, 41.1529232], [-8.5824565, 41.1528298]]",7,2,168.482,0
13,LineString,"[[-8.5801756, 41.1520755], [-8.5805065, 41.1523496], [-8.5806624, 41.1524734]]",0,5,60.159,8
